species_code,region_type,region_code,region_name,continent_code,continent_name,season,abundance_mean,total_pop_percent,continent_pop_percent,range_occupied_percent,range_total_percent,range_days_occupation,max_week,max_week_percent_pop,speciesCode,commonName
amerob,country,BMU,Bermuda,NA,North America,postbreeding_migration,6.445651839249673e-4,4.420120567324099e-9,4.420120567324099e-9,0.15440350172053663,2.9365708047598876e-6,14,2023-11-15,2.931908110379791e-8,amerob,American Robin
amerob,country,BMU,Bermuda,NA,North America,prebreeding_migration,0.013200298875474425,9.027194363884553e-8,9.027194363884553e-8,0.8148891221205272,1.9001580931533503e-5,14,2023-02-22,1.1135696070449493e-6,amerob,American Robin
amerob,country,CAN,Canada,NA,North America,breeding,1.4594642822340356,0.4650130135478216,0.4650130135478216,0.7261796522163401,0.5463304502154083,77,2023-05-17,0.4600943986055124,amerob,American Robin
amerob,country,CAN,Canada,NA,North America,nonbreeding,0.02383167925121805,0.0032555272462888524,0.0032555272462888524,0.012763536603282864,0.01685445381168458,77,2023-11-29,0.0042339350683177944,amerob,American Robin
amerob,country,CAN,Canada,NA,North America,postbreeding_migration,0.6231945877808791,0.18732573545058015,0.18732573545058015,0.43971319654079305,0.3665720363362037,119,2023-08-02,0.3627127955745759,amerob,American Robin
amerob,country,CAN,Canada,NA,North America,prebreeding_migration,1.5155048300556506,0.2953016314411519,0.2953016314411519,0.5477805531661527,0.3639463079761164,91,2023-05-03,0.4977021920702068,amerob,American Robin
amerob,country,MEX,Mexico,NA,North America,breeding,0.17218862863014586,0.008979619200287203,0.008979619200287203,0.19877904748303443,0.024477313664450755,77,2023-05-24,0.01097410941454104,amerob,American Robin
amerob,country,MEX,Mexico,NA,North America,nonbreeding,0.18806561907290473,0.006901212629084224,0.006901212629084224,0.2702859033154402,0.09587742509870074,77,2023-01-18,0.009050758878858166,amerob,American Robin
amerob,country,MEX,Mexico,NA,North America,postbreeding_migration,0.09350881454360996,0.004817493735278339,0.004817493735278339,0.19523982782264027,0.02789671607216915,119,2023-08-02,0.010785079716836144,amerob,American Robin
amerob,country,MEX,Mexico,NA,North America,prebreeding_migration,0.19171352114046075,0.008317340196601722,0.008317340196601722,0.2909380911776517,0.04303823901457006,91,2023-02-22,0.01205645831382032,amerob,American Robin
amerob,country,SPM,Saint Pierre and Miquelon,NA,North America,breeding,1.3464626170598066,2.9090240688438172e-5,2.9090240688438172e-5,0.4675324675324675,2.3850884271534367e-5,77,2023-05-17,4.1985678543698e-5,amerob,American Robin
amerob,country,SPM,Saint Pierre and Miquelon,NA,North America,nonbreeding,0.04976773510376612,1.4075082703406237e-7,1.4075082703406237e-7,0.4,1.0935535021050905e-5,14,2023-11-29,1.3039967257138044e-6,amerob,American Robin
amerob,country,SPM,Saint Pierre and Miquelon,NA,North America,postbreeding_migration,2.9430832282289283,5.9987076292535766e-5,5.9987076292535766e-5,0.5324675324675324,3.0099850748788848e-5,119,2023-10-04,1.5106469220251196e-4,amerob,American Robin
