species_code,region_type,region_code,region_name,continent_code,continent_name,season,abundance_mean,total_pop_percent,continent_pop_percent,range_occupied_percent,range_total_percent,range_days_occupation,max_week,max_week_percent_pop,speciesCode,commonName
andcon1,country,ARG,Argentina,SA,South America,resident,0.2525204692775786,0.5292578510439189,0.5292578510439189,0.3022623663543104,0.43188458922311074,365,2023-03-29,0.5729479564137081,andcon1,Andean Condor
andcon1,country,BOL,Bolivia,SA,South America,resident,0.09776829603400816,0.09747956531238933,0.09747956531238933,0.22429691844194344,0.15245853874527826,365,2023-12-13,0.12151848690168358,andcon1,Andean Condor
andcon1,country,CHL,Chile,SA,South America,resident,0.33519378088836344,0.34359772806709515,0.34359772806709515,0.3619275345610631,0.25292331414679303,365,2023-05-17,0.3951964549540501,andcon1,Andean Condor
andcon1,country,COL,Colombia,SA,South America,resident,0.002003969385444478,9.189195186204272e-4,9.189195186204272e-4,0.032495022001381775,0.010158185455545523,365,2023-01-18,0.0016078373652040315,andcon1,Andean Condor
andcon1,country,ECU,Ecuador,SA,South America,resident,0.01339387308558924,0.0020021811532488767,0.0020021811532488767,0.11160405856257306,0.01137339404461577,365,2023-09-13,0.0031720730555310633,andcon1,Andean Condor
andcon1,country,PER,Peru,SA,South America,resident,0.03038741541485372,0.026681700474444143,0.026681700474444143,0.23415435250307137,0.1401634841866181,365,2023-07-19,0.034199281190384324,andcon1,Andean Condor
andcon1,country,VEN,Venezuela,SA,South America,resident,0.0010623269080384916,6.205443028312598e-5,6.205443028312598e-5,0.026078136584183703,0.0010384941980385366,365,2023-01-18,1.5621583296801677e-4,andcon1,Andean Condor
andcon1,state,ARG-1271,Santa Cruz,SA,South America,resident,0.3518302058766824,0.10640680918544976,0.10640680918544976,0.29347815828993834,0.06050969877392007,365,2023-05-17,0.16356935929804087,andcon1,Andean Condor
andcon1,state,ARG-1272,Tierra del Fuego,SA,South America,resident,0.5016190880889189,0.01510434019442924,0.01510434019442924,0.6159946620721336,0.012644962952813288,365,2023-08-23,0.018947673511944214,andcon1,Andean Condor
andcon1,state,ARG-1273,San Juan,SA,South America,resident,0.4617092584051905,0.04991912417263187,0.04991912417263187,0.6884153239975414,0.05074132585496795,365,2023-01-04,0.06434068148282743,andcon1,Andean Condor
andcon1,state,ARG-1274,Chubut,SA,South America,resident,0.1901026287112338,0.05340305279072945,0.05340305279072945,0.22161615883656616,0.04244165329699011,365,2023-07-12,0.06130654287070026,andcon1,Andean Condor
andcon1,state,ARG-1275,Mendoza,SA,South America,resident,0.29567495717157943,0.05487415354968056,0.05487415354968056,0.30719640370816714,0.038867116935186574,365,2023-10-04,0.07467713510681354,andcon1,Andean Condor
