species_code,region_type,region_code,region_name,continent_code,continent_name,season,abundance_mean,total_pop_percent,continent_pop_percent,range_occupied_percent,range_total_percent,range_days_occupation,max_week,max_week_percent_pop,speciesCode,commonName
barswa,country,ABW,Aruba,NA,North America,breeding,0.14820072006272234,8.673716307412905e-7,5.338444924182056e-6,0.5434782608695652,9.86350487414957e-6,42,2023-05-31,1.5186941671698082e-6,barswa,Barn Swallow
barswa,country,ABW,Aruba,NA,North America,nonbreeding,0.7438166789386583,2.666466634718154e-6,4.087653934419449e-4,0.8913043478260869,2.2971710058919635e-5,42,2023-12-20,5.792610458705681e-6,barswa,Barn Swallow
barswa,country,ABW,Aruba,NA,North America,postbreeding_migration,5.470327141492263,9.913979634553954e-6,1.3696985131866055e-4,1,9.332603226199782e-6,154,2023-09-27,4.953242500869144e-5,barswa,Barn Swallow
barswa,country,ABW,Aruba,NA,North America,prebreeding_migration,2.041731728159863,6.4616601241429725e-6,1.6547900272265094e-4,1,1.0710180422302414e-5,126,2023-04-26,3.963154666437453e-5,barswa,Barn Swallow
barswa,country,AFG,Afghanistan,AS,Asia,breeding,0.6845851507472607,0.003058257222281087,0.00524777495199855,0.2367032686518381,0.0032790268835120604,42,2023-07-05,0.0034777245421932345,barswa,Barn Swallow
barswa,country,AFG,Afghanistan,AS,Asia,nonbreeding,0.01422841632463275,7.640119834258119e-6,1.8720275725782935e-5,0.010449639298860528,4.0340564005907654e-05,0,2023-12-20,1.155326706028464e-5,barswa,Barn Swallow
barswa,country,AFG,Afghanistan,AS,Asia,postbreeding_migration,0.34828476505768335,8.019129737492773e-4,0.0014798788837178775,0.22414029824406775,0.002657545976063726,112,2023-07-12,0.002332691081666135,barswa,Barn Swallow
barswa,country,AFG,Afghanistan,AS,Asia,prebreeding_migration,0.32859258365770294,0.0011071259838306246,0.002494537502529263,0.2293976030151136,0.0026156493086872605,91,2023-05-03,0.002306405323309464,barswa,Barn Swallow
barswa,country,AGO,Angola,AF,Africa,nonbreeding,1.265823219937667,0.009504976904028153,0.017634634815227253,0.419987825598044,0.022673145197293024,42,2023-12-13,0.013953532019519325,barswa,Barn Swallow
barswa,country,AGO,Angola,AF,Africa,postbreeding_migration,2.1113676536209622,0.009108184849887575,0.040845306312456295,0.6126830155297138,0.013610431446318204,70,2023-11-01,0.03990955481936179,barswa,Barn Swallow
barswa,country,AGO,Angola,AF,Africa,prebreeding_migration,2.0271141660016134,0.007343880992746695,0.018607128550060123,0.4423616558398678,0.0054234576183373635,84,2023-03-01,0.01084207486997058,barswa,Barn Swallow
