species_code,region_type,region_code,region_name,continent_code,continent_name,season,abundance_mean,total_pop_percent,continent_pop_percent,range_occupied_percent,range_total_percent,range_days_occupation,max_week,max_week_percent_pop,speciesCode,commonName
bkpwar,country,ABW,Aruba,NA,North America,nonbreeding,0.00898959754925707,4.889066301531517e-5,0.07842451937113074,0.34782608695652173,9.71575348704465e-5,98,2023-01-18,1.8084396343320656e-4,bkpwar,Blackpoll Warbler
bkpwar,country,ABW,Aruba,NA,North America,postbreeding_migration,0.42861896882886474,3.8396032610386535e-4,4.793024453440053e-4,0.7391304347826086,6.723805832308282e-5,84,2023-10-18,0.0056139763454045016,bkpwar,Blackpoll Warbler
bkpwar,country,ABW,Aruba,NA,North America,prebreeding_migration,0.03998956475001962,1.0941234297367644e-5,1.1299787158665084e-5,0.5869565217391305,2.981613384131191e-5,35,2023-04-19,4.058628434487165e-4,bkpwar,Blackpoll Warbler
bkpwar,country,ATG,Antigua and Barbuda,NA,North America,postbreeding_migration,0.1164339704568996,9.750015272757784e-5,1.2171065197788308e-4,0.6976744186046512,5.93276985203672e-5,28,2023-10-18,0.0032516670597033683,bkpwar,Blackpoll Warbler
bkpwar,country,BHS,The Bahamas,NA,North America,postbreeding_migration,0.044687406797381805,0.002764773137531915,0.0034513006567298164,0.4796978281397545,0.0030138470848346537,56,2023-10-18,0.08334480899309885,bkpwar,Blackpoll Warbler
bkpwar,country,BHS,The Bahamas,NA,North America,prebreeding_migration,0.03728546458442237,6.168375619555204e-4,6.370518144597466e-4,0.2559826612595134,7.862624924079289e-4,49,2023-04-26,0.01110367631541214,bkpwar,Blackpoll Warbler
bkpwar,country,BLM,Saint Barthelemy,NA,North America,postbreeding_migration,0.025953260117343495,7.075825079038987e-6,8.832840355210033e-6,0.6428571428571429,1.779830955611016e-5,7,2023-10-25,5.382536644213981e-4,bkpwar,Blackpoll Warbler
bkpwar,country,BMU,Bermuda,NA,North America,postbreeding_migration,0.34879066838937645,2.309409283602112e-4,2.882864300493406e-4,0.6176470588235294,4.152938896425704e-5,49,2023-10-18,0.006675669729895877,bkpwar,Blackpoll Warbler
bkpwar,country,BON,Caribbean Netherlands,NA,North America,nonbreeding,0.0014962363334845251,1.185230571525478e-5,0.0190120428284515,0.208955223880597,8.501284301164068e-5,35,2023-01-18,1.1892090778346532e-4,bkpwar,Blackpoll Warbler
bkpwar,country,BON,Caribbean Netherlands,NA,North America,postbreeding_migration,0.11997833291986096,1.565433988498584e-4,1.9541506965722863e-4,0.8805970149253731,1.166778070900555e-4,77,2023-10-18,0.003875472114182293,bkpwar,Blackpoll Warbler
bkpwar,country,BON,Caribbean Netherlands,NA,North America,prebreeding_migration,0.004800422089313393,1.9130047018201207e-6,1.975695371891786e-6,0.1791044776119403,1.3251615040583073e-5,21,2023-04-19,1.2346639168019896e-4,bkpwar,Blackpoll Warbler
bkpwar,country,BRA,Brazil,SA,South America,nonbreeding,0.0014430378257611711,0.05759878992271042,0.05763472000805223,0.05733031767307719,0.11752997704725046,112,2023-02-01,0.10406466000712344,bkpwar,Blackpoll Warbler
bkpwar,country,BRA,Brazil,SA,South America,postbreeding_migration,0.0029157408472172144,0.01916963539270169,0.09637820074525302,0.04810710536779143,0.032118353303169034,49,2023-11-08,0.08617631483328408,bkpwar,Blackpoll Warbler
bkpwar,country,BRA,Brazil,SA,South America,prebreeding_migration,8.635137687163671e-5,1.0217730111056876e-4,0.003220115859118643,9.2621827933117e-4,2.034811877186357e-4,0,2023-04-12,0.004091792915504694,bkpwar,Blackpoll Warbler
bkpwar,country,BRB,Barbados,NA,North America,postbreeding_migration,0.006987672495365128,6.093765385477483e-6,7.606923038767076e-6,0.22330782694507265,1.9775899506789067e-5,35,2023-10-25,2.559425981155266e-4,bkpwar,Blackpoll Warbler
bkpwar,country,CAN,Canada,NA,North America,breeding,0.14449755498876254,0.9104033839165078,0.9104033839165078,0.29913194374422925,0.8553542457660119,56,2023-07-12,0.9365633909329492,bkpwar,Blackpoll Warbler
bkpwar,country,CAN,Canada,NA,North America,postbreeding_migration,0.015971104866937404,0.3531843418708537,0.44088440186948047,0.1246076015323926,0.2798273309856149,77,2023-08-30,0.7812151831415023,bkpwar,Blackpoll Warbler
bkpwar,country,CAN,Canada,NA,North America,prebreeding_migration,0.09378503825883153,0.6334388793649016,0.6541971701098475,0.34618932298761346,0.43412078679799393,28,2023-06-07,0.8199490555686774,bkpwar,Blackpoll Warbler
bkpwar,country,COL,Colombia,SA,South America,nonbreeding,0.04307644954642751,0.6193766957450985,0.6197630624997944,0.418368658236547,0.3089603591284703,119,2023-01-04,0.857566479712331,bkpwar,Blackpoll Warbler
bkpwar,country,COL,Colombia,SA,South America,postbreeding_migration,0.03426041581847245,0.08481398849579914,0.4264149756528921,0.3527344478711246,0.08867513237952904,77,2023-12-06,0.6012077021833375,bkpwar,Blackpoll Warbler
bkpwar,country,COL,Colombia,SA,South America,prebreeding_migration,0.027944310009995497,0.01903321563247124,0.5998314580830718,0.3684970487162834,0.04659920923737419,28,2023-04-12,0.7720449420442436,bkpwar,Blackpoll Warbler
