species_code,region_type,region_code,region_name,continent_code,continent_name,season,abundance_mean,total_pop_percent,continent_pop_percent,range_occupied_percent,range_total_percent,range_days_occupation,max_week,max_week_percent_pop,speciesCode,commonName
grefla3,country,AFG,Afghanistan,AS,Asia,breeding,0.05677286634584182,8.390963277189051e-4,0.0010473519390025374,0.0054142706054474184,0.0018169991452002315,28,2023-04-12,0.0018980904592604696,grefla3,Greater Flamingo
grefla3,country,AFG,Afghanistan,AS,Asia,nonbreeding,0.03581874905086278,2.747220367423832e-4,3.916427256399905e-4,0.0010821673702354974,2.1410775459358456e-4,0,2023-01-11,3.043062489135911e-4,grefla3,Greater Flamingo
grefla3,country,AFG,Afghanistan,AS,Asia,postbreeding_migration,0.0465748450196036,1.5767177347337735e-4,2.021824169913317e-4,0.003211408821111928,4.2221152703394576e-4,0,2023-10-25,4.60465258193709e-4,grefla3,Greater Flamingo
grefla3,country,ALB,Albania,EU,Europe,breeding,3.218053482747408,0.003522936454715155,0.06433335932153558,0.14771023372256684,0.003671689125901251,133,2023-04-19,0.009115330069178008,grefla3,Greater Flamingo
grefla3,country,ALB,Albania,EU,Europe,nonbreeding,4.590159124704385,0.007069296471339173,0.08020125036973098,0.09614940185262584,0.003819881757638496,77,2023-12-06,0.00997040876134465,grefla3,Greater Flamingo
grefla3,country,ALB,Albania,EU,Europe,postbreeding_migration,4.344467414645578,0.002953278808836139,0.070611159710379,0.1039670583183918,0.002744704643168887,126,2023-11-22,0.012702002099943313,grefla3,Greater Flamingo
grefla3,country,ARE,United Arab Emirates,AS,Asia,breeding,0.5590654883721277,0.003028752377231355,0.0037804594898840655,0.0355197125638917,0.004369324429423731,133,2023-03-08,0.008963030776825047,grefla3,Greater Flamingo
grefla3,country,ARE,United Arab Emirates,AS,Asia,nonbreeding,1.3716680535761328,0.008608004592932319,0.012271539702724776,0.043916796824261806,0.0071094990605855245,77,2023-12-06,0.013161482037739211,grefla3,Greater Flamingo
grefla3,country,ARE,United Arab Emirates,AS,Asia,postbreeding_migration,1.1924307041568805,0.0033029809366027325,0.0042354103992582465,0.0463214993668117,0.0049829609226753144,126,2023-09-27,0.009866978318902042,grefla3,Greater Flamingo
grefla3,country,ARM,Armenia,AS,Asia,breeding,0.32052658181382637,2.454126876449369e-4,3.063217484928074e-4,0.09152630263672802,0.00159119221069523,126,2023-06-28,9.099421034431172e-4,grefla3,Greater Flamingo
grefla3,country,ARM,Armenia,AS,Asia,nonbreeding,0.3198225718934868,2.836576187038167e-4,4.043812584350025e-4,0.04780060795389058,0.001093638121650316,28,2023-12-06,4.8534901344019215e-4,grefla3,Greater Flamingo
grefla3,country,ARM,Armenia,AS,Asia,postbreeding_migration,0.2679519279280285,1.3187237903362363e-4,1.6909986955856068e-4,0.05508859686328308,0.001052908475812534,91,2023-11-29,6.589947418399159e-4,grefla3,Greater Flamingo
grefla3,country,AZE,Azerbaijan,AS,Asia,breeding,1.4057704156141824,0.007013954138602513,0.008754749871341507,0.31163683777634166,0.035305395206939774,133,2023-03-08,0.0431563716624755,grefla3,Greater Flamingo
grefla3,country,AZE,Azerbaijan,AS,Asia,nonbreeding,6.10597565416066,0.02922279990796868,0.04165991611921985,0.3076902985063637,0.037987038591225805,77,2023-02-15,0.048130085103589015,grefla3,Greater Flamingo
grefla3,country,AZE,Azerbaijan,AS,Asia,postbreeding_migration,2.6991356178478045,0.006278864178623253,0.008051383628336564,0.2752667625902397,0.02486807185990852,98,2023-11-22,0.03198989386522265,grefla3,Greater Flamingo
grefla3,country,BGR,Bulgaria,EU,Europe,breeding,0.15384808016195997,3.4318712441870527e-4,0.006267039123059697,0.023862438915262543,0.0012086414947529752,133,2023-03-15,0.001053566562395299,grefla3,Greater Flamingo
grefla3,country,BGR,Bulgaria,EU,Europe,nonbreeding,0.32236525001693517,0.0011838507698036472,0.013430800699101944,0.028612321743560012,0.0027105456107982813,77,2023-12-06,0.002338099462604939,grefla3,Greater Flamingo
grefla3,country,BGR,Bulgaria,EU,Europe,postbreeding_migration,0.4239013192979843,6.871205855767215e-4,0.016428649155400158,0.03510764984121748,0.0022100490152386857,126,2023-11-22,0.005643735858937567,grefla3,Greater Flamingo
grefla3,country,BHR,Bahrain,AS,Asia,breeding,1.5638073523023204,1.8668093008475297e-4,2.3301333546601097e-4,0.3437607556820724,9.31787256699994e-4,119,2023-03-15,7.544099361725704e-4,grefla3,Greater Flamingo
grefla3,country,BHR,Bahrain,AS,Asia,nonbreeding,8.637936902227642,0.0011944806379478275,0.0017028472062791376,0.4069845451904493,0.0014517835913324816,77,2023-12-06,0.001997032900934501,grefla3,Greater Flamingo
grefla3,country,BHR,Bahrain,AS,Asia,postbreeding_migration,3.1724889889361574,1.936371407859918e-4,2.483007851117564e-4,0.32739119588768806,7.760460453986937e-4,126,2023-11-29,0.001179145854151534,grefla3,Greater Flamingo
grefla3,country,BIH,Bosnia and Herzegovina,EU,Europe,breeding,0.008521811801019123,2.948946254729902e-6,5.3851558625622366e-5,0.007302281535521485,5.737692343400544e-5,0,2023-03-15,4.092561525996044e-5,grefla3,Greater Flamingo
grefla3,country,BIH,Bosnia and Herzegovina,EU,Europe,nonbreeding,0.14486828717147718,5.8071176632994194e-5,6.588181716935924e-4,0.01106695686689954,1.144380361884922e-4,0,2023-01-18,9.548938567832296e-5,grefla3,Greater Flamingo
grefla3,country,BIH,Bosnia and Herzegovina,EU,Europe,postbreeding_migration,0.03564600083693294,6.306923513556096e-6,1.5079483256521872e-4,0.007302281535521485,5.017614366190229e-5,0,2023-11-22,9.683808932739749e-5,grefla3,Greater Flamingo
