species_code,region_type,region_code,region_name,continent_code,continent_name,season,abundance_mean,total_pop_percent,continent_pop_percent,range_occupied_percent,range_total_percent,range_days_occupation,max_week,max_week_percent_pop,speciesCode,commonName
houspa,country,ABW,Aruba,NA,North America,resident,4.040967145691747,2.0539918425542995e-5,4.2317555808465794e-4,0.7391304347826086,2.1078290972167974e-5,365,2023-03-29,3.080018157656185e-5,houspa,House Sparrow
houspa,country,AFG,Afghanistan,AS,Asia,resident,2.198890660654888,0.017097279675660583,0.021050562200193423,0.5722990075590724,0.024965903587869744,365,2023-05-03,0.039005239315068496,houspa,House Sparrow
houspa,country,AGO,Angola,AF,Africa,resident,0.00712673407901784,7.59229352668793e-5,0.0022653450502768753,0.010814044894753122,6.463556048778952e-4,365,2023-10-11,1.159677860745262e-4,houspa,House Sparrow
houspa,country,AIA,Anguilla,NA,North America,resident,0.06986769623202373,8.806788818525797e-8,1.814426764508855e-6,0.08766261149933932,6.199497344755287e-7,365,2023-09-27,1.1462291899523057e-7,houspa,House Sparrow
houspa,country,ALB,Albania,EU,Europe,resident,1.2745369203576613,4.625539459860778e-4,0.006320142297378265,0.4127221381657092,8.403663413898062e-4,365,2023-07-05,0.001095100412701722,houspa,House Sparrow
houspa,country,ALD,Aland,EU,Europe,resident,0.0012039292069321006,1.3823986847217937e-8,1.888851338307091e-7,0.009623281761817305,6.199497344755287e-7,365,2023-04-19,8.255664871233596e-8,houspa,House Sparrow
houspa,country,AND,Andorra,EU,Europe,resident,0.2969717209680381,1.117864912663659e-6,1.527403533920625e-5,0.14677474635463067,3.099748672377644e-6,365,2023-07-26,2.3385518375266563e-6,houspa,House Sparrow
houspa,country,ARE,United Arab Emirates,AS,Asia,resident,36.449889432732554,0.03440692463245379,0.04236259339688504,0.9447294981247792,0.0050033171393913025,365,2023-04-12,0.04617217250561163,houspa,House Sparrow
houspa,country,ARG,Argentina,SA,South America,resident,0.3462564481236174,0.011899688631662029,0.6572045098639104,0.1581900577421911,0.03050126332304555,365,2023-12-20,0.026888378247931357,houspa,House Sparrow
houspa,country,ARM,Armenia,AS,Asia,resident,0.7400885486224175,2.6157517246507564e-4,3.2205734142847793e-4,0.17427825641383185,3.455866499622658e-4,365,2023-08-02,3.957003236346842e-4,houspa,House Sparrow
houspa,country,ATG,Antigua and Barbuda,NA,North America,resident,0.0754927597729099,1.5860298602596445e-7,3.2676326037383667e-6,0.10519122227956022,1.2398994689510574e-6,365,2023-12-20,2.2760068657142298e-7,houspa,House Sparrow
houspa,country,AUS,Australia,OC,Oceania,resident,0.04709264938049067,0.0030221021736241793,0.20910081513523185,0.0311296292892467,0.011208071249583083,365,2023-01-25,0.005756545970177413,houspa,House Sparrow
houspa,country,AUT,Austria,EU,Europe,resident,0.3805078860221636,3.923902678118763e-4,0.005361455350663181,0.2440010887889982,0.0014117157002687753,365,2023-06-21,6.789756487152966e-4,houspa,House Sparrow
houspa,country,AZE,Azerbaijan,AS,Asia,resident,1.2180174229954288,0.001277552665400635,0.0015729520928012715,0.3572845073950687,0.002102521335248374,365,2023-08-02,0.002651720035577565,houspa,House Sparrow
