species_code,region_type,region_code,region_name,continent_code,continent_name,season,abundance_mean,total_pop_percent,continent_pop_percent,range_occupied_percent,range_total_percent,range_days_occupation,max_week,max_week_percent_pop,speciesCode,commonName
rthhum,country,BHS,The Bahamas,NA,North America,prebreeding_migration,3.811697097262368e-4,2.7477756396872715e-6,2.7477756396872715e-6,0.0234375,2.1191753582289344e-5,14,2023-04-05,2.633217622993317e-5,rthhum,Ruby-throated Hummingbird
rthhum,country,BLZ,Belize,NA,North America,nonbreeding,0.057218992259119354,0.00905787741621496,0.00905787741621496,0.6016394685271883,0.020251802776804273,112,2023-02-01,0.018556403561258636,rthhum,Ruby-throated Hummingbird
rthhum,country,BLZ,Belize,NA,North America,postbreeding_migration,0.002349727583129134,5.21118427063012e-5,5.21118427063012e-5,0.2453288972063697,0.0018081829630561983,56,2023-11-08,0.0018187707662124784,rthhum,Ruby-throated Hummingbird
rthhum,country,BLZ,Belize,NA,North America,prebreeding_migration,0.035240841218099166,0.00279252867829889,0.00279252867829889,0.3814103412384048,0.003790849665083931,56,2023-03-22,0.0160357540540726,rthhum,Ruby-throated Hummingbird
rthhum,country,CAN,Canada,NA,North America,breeding,0.011103982620239329,0.07607500640706703,0.07607500640706703,0.05955925641833964,0.16658294547412533,56,2023-05-31,0.10925714878585016,rthhum,Ruby-throated Hummingbird
rthhum,country,CAN,Canada,NA,North America,postbreeding_migration,0.017497007636957097,0.07752356240437462,0.07752356240437462,0.09279626567272148,0.13663916225646872,56,2023-08-16,0.1258899494879925,rthhum,Ruby-throated Hummingbird
rthhum,country,CAN,Canada,NA,North America,prebreeding_migration,0.002144195147494948,0.030965136539514097,0.030965136539514097,0.058585802041437866,0.10611915741357963,14,2023-05-24,0.11313725454747672,rthhum,Ruby-throated Hummingbird
rthhum,country,CRI,Costa Rica,NA,North America,nonbreeding,0.2068956457419041,0.05812852537706613,0.05812852537706613,0.5531565442245151,0.03304662756812679,112,2023-12-27,0.069905638811565,rthhum,Ruby-throated Hummingbird
rthhum,country,CRI,Costa Rica,NA,North America,postbreeding_migration,0.0121855798004904,4.796415903516745e-4,4.796415903516745e-4,0.32760847094394,0.004285490235931041,35,2023-11-08,0.02722370828492755,rthhum,Ruby-throated Hummingbird
rthhum,country,CRI,Costa Rica,NA,North America,prebreeding_migration,0.021112777108173005,0.003624227473359808,0.003624227473359808,0.3897730934840206,0.008392177560795253,49,2023-03-08,0.04834511764541523,rthhum,Ruby-throated Hummingbird
rthhum,country,GTM,Guatemala,NA,North America,nonbreeding,0.1371843670426827,0.09393574351690372,0.09393574351690372,0.5325918130827302,0.07754644194181703,112,2023-02-08,0.12564467520496628,rthhum,Ruby-throated Hummingbird
rthhum,country,GTM,Guatemala,NA,North America,postbreeding_migration,0.02435214634685997,0.0023361255517870623,0.0023361255517870623,0.20210605810559165,0.006443369206418872,70,2023-11-08,0.0486267956349818,rthhum,Ruby-throated Hummingbird
rthhum,country,GTM,Guatemala,NA,North America,prebreeding_migration,0.06306521594005936,0.021359050083605,0.021359050083605,0.6056105646050691,0.02572635228035883,56,2023-04-05,0.12515621542423602,rthhum,Ruby-throated Hummingbird
